'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','-','FP1-F3','F3-C3','C3-P3','P3-O1','-','FZ-CZ','CZ-PZ','-','FP2-F4','F4-C4','C4-P4','P4-O2','-','FP2-F8','F8-T8','T8-P8','P8-O2','-','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'[17:57:00.082 10/08/2055]',-18.364,35.165,27.350,-13.284,0.000,42.979,9.377,-10.549,-11.331,0.000,39.463,-16.020,0.000,40.244,26.960,-26.178,-19.536,0.000,-2.344,60.952,-12.503,-24.225,0.000,-27.350,-23.834,37.509,35.165,-12.503
'[17:57:00.086 10/08/2055]',-19.927,17.192,34.774,-17.192,0.000,24.225,6.642,-5.861,-11.722,0.000,33.602,-8.596,0.000,32.821,23.834,-19.536,-21.880,0.000,-4.689,57.436,-12.894,-23.443,0.000,-34.774,-10.159,34.383,26.178,-12.894
'[17:57:00.090 10/08/2055]',-9.377,80.879,-32.039,-10.549,0.000,33.602,8.596,-5.079,-9.377,0.000,29.304,-0.391,0.000,30.476,25.006,-10.940,-18.364,0.000,3.516,50.794,-3.907,-23.443,0.000,32.039,-46.105,18.755,12.112,-3.907
'[17:57:00.094 10/08/2055]',-6.252,19.536,33.602,-11.331,0.000,33.211,10.549,-2.344,-6.642,0.000,28.913,8.205,0.000,22.271,26.569,-3.126,-13.675,0.000,9.768,39.853,2.344,-21.099,0.000,-33.602,4.298,30.867,8.596,2.344
'[17:57:00.098 10/08/2055]',0.391,-17.192,63.297,-10.549,0.000,36.337,10.940,-6.642,-5.470,0.000,24.615,10.159,0.000,5.470,25.397,-0.781,-14.847,0.000,1.563,34.383,-1.563,-18.755,0.000,-63.297,36.337,25.006,12.503,-1.563
'[17:57:00.102 10/08/2055]',-8.205,66.422,-16.020,-4.689,0.000,31.258,12.894,-6.252,-1.563,0.000,28.132,3.907,0.000,4.298,29.695,2.344,-11.331,0.000,5.861,33.211,3.126,-17.582,0.000,16.020,-35.556,29.304,1.172,3.126
'[17:57:00.105 10/08/2055]',-23.834,61.734,-22.662,-0.391,0.000,18.755,7.814,-7.033,-5.079,0.000,32.821,-2.735,0.000,-4.298,27.350,1.172,-14.457,0.000,3.907,26.178,0.000,-21.099,0.000,22.662,-27.350,29.304,0.391,0.000
'[17:57:00.109 10/08/2055]',-29.695,16.020,25.397,-10.159,0.000,9.377,9.377,-7.424,-10.549,0.000,34.774,-5.079,0.000,-8.205,25.788,1.563,-16.801,0.000,-3.907,27.741,2.344,-23.053,0.000,-25.397,17.582,11.331,10.549,2.344
'[17:57:00.113 10/08/2055]',-27.741,49.231,-12.503,-7.424,0.000,8.596,12.503,-12.894,-8.596,0.000,28.913,-6.642,0.000,-1.954,22.662,0.781,-10.940,0.000,0.391,20.708,5.079,-16.020,0.000,12.503,-12.112,13.284,-4.689,5.079
'[17:57:00.117 10/08/2055]',-36.728,-2.735,26.960,-9.768,0.000,-1.172,5.861,-15.629,-12.894,0.000,20.317,-5.470,0.000,-6.642,14.457,-0.391,-8.596,0.000,1.563,8.596,1.563,-13.675,0.000,-26.960,40.244,8.987,-7.814,1.563
'[17:57:00.121 10/08/2055]',-28.913,-23.053,66.422,-12.112,0.000,4.298,11.722,-9.377,-6.642,0.000,19.145,1.954,0.000,-1.172,13.675,0.000,0.391,0.000,4.689,9.768,4.689,-6.252,0.000,-66.422,49.621,17.582,-8.205,4.689
'[17:57:00.125 10/08/2055]',-20.317,28.913,13.284,-4.689,0.000,7.033,16.020,-5.861,-1.954,0.000,20.317,2.735,0.000,6.252,12.894,1.172,7.424,0.000,16.020,6.642,8.987,-3.126,0.000,-13.284,-7.814,28.913,-14.847,8.987
'[17:57:00.129 10/08/2055]',-25.397,-22.271,66.032,-6.252,0.000,0.000,14.457,-3.516,-0.781,0.000,25.397,-1.563,0.000,-3.126,11.722,1.563,14.847,0.000,12.894,-3.907,7.033,9.768,0.000,-66.032,48.449,15.629,-21.490,7.033
'[17:57:00.133 10/08/2055]',-21.880,-31.648,91.429,-15.238,0.000,5.079,19.145,-0.781,-2.735,0.000,37.900,-10.940,0.000,-8.205,12.503,2.735,13.284,0.000,11.331,-9.377,17.582,1.563,0.000,-91.429,56.654,14.847,-22.662,17.582
'[17:57:00.137 10/08/2055]',-24.615,-21.880,102.369,-28.913,0.000,5.861,20.317,0.391,-1.954,0.000,40.635,-16.020,0.000,-10.940,12.112,5.079,14.066,0.000,14.847,-19.145,24.615,1.954,0.000,-102.369,55.092,11.722,-28.523,24.615
'[17:57:00.141 10/08/2055]',-32.430,5.470,76.972,-34.383,0.000,0.781,14.066,0.391,-1.172,0.000,31.258,-15.629,0.000,-17.582,10.159,3.126,12.503,0.000,17.973,-29.304,24.615,-3.516,0.000,-76.972,31.648,18.364,-37.509,24.615
'[17:57:00.145 10/08/2055]',-40.244,16.801,51.966,-22.271,0.000,-5.079,6.642,5.079,-1.563,0.000,21.099,-8.205,0.000,-19.536,10.940,2.735,10.549,0.000,21.880,-26.178,11.722,-2.344,0.000,-51.966,25.006,11.722,-28.523,11.722
'[17:57:00.148 10/08/2055]',-20.708,37.900,23.053,-6.252,0.000,15.238,10.940,8.205,-2.735,0.000,15.238,5.861,0.000,-14.457,14.457,5.861,10.549,0.000,31.258,-22.662,9.768,-1.563,0.000,-23.053,12.503,16.020,-32.039,9.768
'[17:57:00.152 10/08/2055]',-17.582,43.370,11.722,4.298,0.000,18.364,16.020,10.549,-3.516,0.000,10.159,14.847,0.000,-13.675,18.364,10.549,14.066,0.000,33.211,-13.284,12.112,-1.172,0.000,-11.722,12.112,16.410,-32.430,12.112
'[17:57:00.156 10/08/2055]',-18.364,5.861,44.151,8.205,0.000,13.284,17.582,14.457,-7.033,0.000,14.847,16.801,0.000,-13.675,21.099,14.457,12.894,0.000,27.741,-10.159,14.457,3.126,0.000,-44.151,52.747,7.033,-34.774,14.457
'[17:57:00.160 10/08/2055]',-21.099,7.033,50.403,6.252,0.000,10.159,19.145,19.145,-7.033,0.000,27.741,16.410,0.000,-9.377,21.880,19.536,10.940,0.000,31.648,-13.284,24.615,1.563,0.000,-50.403,65.250,0.391,-41.416,24.615
'[17:57:00.164 10/08/2055]',-35.946,22.271,46.105,1.954,0.000,-9.377,28.132,24.615,-9.377,0.000,37.118,16.410,0.000,-6.252,22.662,25.006,9.377,0.000,33.602,-15.238,31.258,1.563,0.000,-46.105,50.794,8.205,-43.761,31.258
'[17:57:00.168 10/08/2055]',-32.821,14.847,57.827,4.298,0.000,-19.145,34.774,33.602,-5.079,0.000,39.853,24.615,0.000,-7.033,26.960,30.085,11.331,0.000,37.900,-11.331,28.132,7.814,0.000,-57.827,48.059,20.317,-42.589,28.132
'[17:57:00.172 10/08/2055]',-31.258,51.966,19.927,14.066,0.000,-19.536,34.383,37.900,1.563,0.000,39.463,35.556,0.000,-8.205,26.178,34.383,16.020,0.000,44.151,-12.894,21.099,16.410,0.000,-19.927,14.066,25.006,-41.807,21.099
'[17:57:00.176 10/08/2055]',-20.708,24.615,44.542,23.053,0.000,-12.112,43.370,33.993,5.470,0.000,35.946,43.370,0.000,-10.940,28.523,39.072,17.582,0.000,40.635,-12.894,27.741,18.755,0.000,-44.542,45.324,7.424,-32.430,27.741
'[17:57:00.180 10/08/2055]',-24.225,-1.954,64.078,25.397,0.000,-26.569,43.370,35.556,8.987,0.000,31.648,48.449,0.000,-14.847,35.165,42.589,21.099,0.000,32.821,-6.252,36.728,21.880,0.000,-64.078,67.985,-8.205,-26.569,36.728
'[17:57:00.184 10/08/2055]',-14.847,-0.391,71.502,23.834,0.000,-5.861,37.900,32.821,13.284,0.000,35.946,46.105,0.000,-14.457,38.291,44.542,22.662,0.000,37.509,-17.192,44.933,26.178,0.000,-71.502,75.800,-11.331,-40.635,44.933
'[17:57:00.188 10/08/2055]',-10.940,-10.940,67.595,30.085,0.000,-7.424,43.761,29.695,7.814,0.000,42.198,39.463,0.000,-19.927,46.105,46.496,15.629,0.000,33.602,-16.020,50.403,20.708,0.000,-67.595,84.786,-25.397,-27.350,50.403
'[17:57:00.191 10/08/2055]',-59.780,-17.192,98.462,17.582,0.000,-72.674,67.204,38.681,4.298,0.000,55.482,37.900,0.000,-37.509,57.436,51.184,14.457,0.000,14.457,-3.516,53.529,21.099,0.000,-98.462,82.051,-7.033,-23.834,53.529
'[17:57:00.195 10/08/2055]',-65.250,22.662,89.084,19.145,0.000,-76.190,81.661,48.059,11.722,0.000,67.595,41.026,0.000,-57.436,62.515,54.310,16.020,0.000,4.689,-5.079,51.575,25.006,0.000,-89.084,44.542,16.801,-26.960,51.575
'[17:57:00.199 10/08/2055]',-23.443,35.946,67.204,27.350,0.000,-38.291,82.442,49.231,12.503,0.000,71.111,41.807,0.000,-32.821,64.860,56.654,12.503,0.000,17.192,1.563,59.780,21.099,0.000,-67.204,26.960,3.516,-16.020,59.780
'[17:57:00.203 10/08/2055]',-59.780,13.675,75.018,26.569,0.000,-89.866,85.568,50.794,7.814,0.000,74.237,39.853,0.000,-35.556,62.125,56.654,6.252,0.000,3.516,1.954,66.032,17.582,0.000,-75.018,43.370,2.735,-25.006,66.032
'[17:57:00.207 10/08/2055]',-8.596,37.900,57.827,26.178,0.000,-16.020,70.720,52.357,5.470,0.000,69.158,40.635,0.000,-25.006,66.813,57.045,1.172,0.000,24.615,-7.814,69.939,13.675,0.000,-57.827,24.225,23.443,-44.151,69.939
'[17:57:00.211 10/08/2055]',53.919,51.575,33.602,34.774,0.000,69.548,51.575,46.496,5.079,0.000,64.078,41.416,0.000,21.099,67.595,57.827,-6.252,0.000,64.078,-3.516,73.065,5.861,0.000,-33.602,7.033,16.020,-31.648,73.065
'[17:57:00.215 10/08/2055]',-1.172,-15.629,102.759,32.430,0.000,21.099,49.231,48.449,-1.172,0.000,60.171,42.198,0.000,15.629,67.204,58.217,-15.629,0.000,57.827,-2.344,72.674,-1.563,0.000,-102.759,70.720,26.178,-23.053,72.674
'[17:57:00.219 10/08/2055]',-6.252,-36.728,154.725,33.993,0.000,38.291,51.575,53.529,0.781,0.000,59.780,47.668,0.000,37.118,66.813,62.906,-16.410,0.000,66.032,6.252,76.190,1.563,0.000,-154.725,99.243,36.728,-16.410,76.190
'[17:57:00.223 10/08/2055]',65.250,-10.940,159.023,33.602,0.000,143.004,33.993,62.515,6.252,0.000,60.171,57.045,0.000,59.389,69.548,69.548,-8.987,0.000,69.939,22.662,86.349,10.549,0.000,-159.023,85.177,10.549,4.298,86.349
'[17:57:00.227 10/08/2055]',53.919,1.172,141.441,35.946,0.000,124.640,33.211,68.376,4.689,0.000,63.687,61.343,0.000,58.217,67.204,71.893,-6.642,0.000,55.482,22.662,96.117,16.020,0.000,-141.441,80.098,-6.252,-1.563,96.117
'[17:57:00.230 10/08/2055]',53.529,46.496,94.945,35.556,0.000,121.905,32.430,71.893,3.907,0.000,65.641,61.343,0.000,58.217,67.595,71.111,-1.172,0.000,50.403,23.053,92.991,28.523,0.000,-94.945,40.244,-8.596,-13.675,92.991
'[17:57:00.234 10/08/2055]',73.455,67.985,48.840,37.509,0.000,121.514,25.788,75.409,4.689,0.000,63.687,61.734,0.000,59.780,69.939,73.065,-4.298,0.000,60.562,16.020,102.759,18.364,0.000,-48.840,-6.252,-1.563,-20.708,102.759
'[17:57:00.238 10/08/2055]',14.847,115.263,9.768,35.165,0.000,47.668,38.681,78.535,8.596,0.000,59.389,64.469,0.000,65.641,63.297,69.548,-5.861,0.000,71.111,8.205,98.462,14.457,0.000,-9.768,-62.515,20.708,-26.569,98.462
'[17:57:00.242 10/08/2055]',-25.788,55.092,55.482,29.304,0.000,-5.079,41.807,70.720,5.470,0.000,50.012,61.343,0.000,53.529,53.919,65.250,-14.457,0.000,58.608,0.000,96.508,2.344,0.000,-55.482,-5.861,10.940,-20.317,96.508
'[17:57:00.246 10/08/2055]',-2.735,-9.377,114.090,25.397,0.000,26.960,33.602,64.078,0.391,0.000,41.416,56.654,0.000,46.496,50.012,61.734,-18.755,0.000,54.310,-3.516,91.819,-2.344,0.000,-114.090,50.403,16.410,-19.927,91.819
'[17:57:00.250 10/08/2055]',10.159,-24.225,131.673,23.053,0.000,58.999,26.178,56.654,-2.735,0.000,34.774,55.482,0.000,33.602,46.105,57.436,-19.927,0.000,42.198,-4.298,78.926,0.781,0.000,-131.673,76.190,17.582,-22.662,78.926
'[17:57:00.254 10/08/2055]',33.602,-11.331,85.177,24.225,0.000,80.879,19.145,41.807,-11.722,0.000,26.178,48.840,0.000,25.397,38.291,50.794,-23.443,0.000,25.788,-4.298,70.720,0.000,0.000,-85.177,66.813,-3.516,-23.443,70.720
'[17:57:00.258 10/08/2055]',32.430,-14.066,67.204,23.834,0.000,80.488,10.159,36.337,-18.755,0.000,23.834,37.509,0.000,37.509,34.383,47.277,-29.695,0.000,35.556,-3.516,61.343,-3.126,0.000,-67.204,55.092,12.112,-32.039,61.343
'[17:57:00.262 10/08/2055]',10.940,-26.178,84.786,27.350,0.000,58.999,14.457,32.821,-11.331,0.000,21.099,31.648,0.000,45.714,23.834,44.933,-32.821,0.000,37.900,-7.424,54.701,-2.735,0.000,-84.786,48.449,35.946,-33.211,54.701
'[17:57:00.266 10/08/2055]',-9.377,-25.788,93.382,14.847,0.000,32.039,24.225,30.085,-15.629,0.000,17.582,31.258,0.000,36.337,18.755,46.105,-37.509,0.000,30.867,-9.768,52.357,-8.596,0.000,-93.382,38.291,45.324,-27.350,52.357
'[17:57:00.270 10/08/2055]',-27.741,-16.410,80.098,15.629,0.000,12.112,26.569,23.834,-12.894,0.000,14.847,25.006,0.000,21.880,16.020,44.933,-37.118,0.000,15.238,-15.238,56.264,-9.377,0.000,-80.098,38.291,35.165,-32.039,56.264
'[17:57:00.273 10/08/2055]',-31.258,12.894,61.343,8.596,0.000,23.053,19.536,22.662,-15.238,0.000,11.722,20.317,0.000,3.907,16.801,45.324,-39.853,0.000,0.391,-16.020,50.012,-6.252,0.000,-61.343,15.238,42.198,-38.681,50.012
'[17:57:00.277 10/08/2055]',-41.026,68.767,12.112,1.954,0.000,20.317,12.503,25.788,-17.973,0.000,7.033,25.006,0.000,-1.563,15.238,48.449,-36.337,0.000,-2.735,-17.192,52.357,-4.689,0.000,-12.112,-31.258,30.085,-33.602,52.357
'[17:57:00.281 10/08/2055]',-53.529,129.328,-63.297,7.424,0.000,0.781,5.079,27.350,-16.020,0.000,2.735,26.960,0.000,3.516,13.284,49.621,-31.258,0.000,1.954,-19.536,55.873,-1.172,0.000,63.297,-94.554,21.880,-33.993,55.873
'[17:57:00.285 10/08/2055]',-65.641,14.847,45.714,8.596,0.000,-12.503,4.298,29.304,-17.973,0.000,-0.391,24.225,0.000,17.582,7.033,51.575,-31.258,0.000,15.629,-19.927,51.184,-1.172,0.000,-45.714,3.907,43.370,-39.072,51.184
'[17:57:00.289 10/08/2055]',-62.906,-19.536,94.164,3.126,0.000,-3.516,7.814,28.523,-20.708,0.000,-3.907,28.132,0.000,26.569,2.735,57.436,-27.741,0.000,23.834,-17.192,54.310,-0.391,0.000,-94.164,30.867,44.933,-28.523,54.310
'[17:57:00.293 10/08/2055]',-30.867,-28.132,96.508,15.629,0.000,16.410,18.755,26.960,-10.159,0.000,-3.907,33.602,0.000,16.410,3.516,58.999,-13.675,0.000,17.192,-23.053,60.952,10.549,0.000,-96.508,43.761,39.072,-38.291,60.952
'[17:57:00.297 10/08/2055]',-25.788,-40.635,103.541,17.582,0.000,21.880,17.582,24.615,-12.112,0.000,-2.344,31.648,0.000,2.344,7.424,61.734,-12.894,0.000,3.126,-19.536,78.144,-1.954,0.000,-103.541,70.330,22.271,-39.463,78.144
'[17:57:00.301 10/08/2055]',-21.099,5.079,78.926,8.596,0.000,23.443,23.443,31.648,-8.987,0.000,0.781,33.211,0.000,-2.735,11.331,66.813,-5.470,0.000,-5.079,-16.020,86.349,6.252,0.000,-78.926,22.271,20.708,-41.026,86.349
'[17:57:00.305 10/08/2055]',-20.708,34.383,47.277,13.675,0.000,16.801,24.615,35.946,-2.735,0.000,3.907,37.509,0.000,-3.126,15.238,70.330,5.079,0.000,-1.172,-21.490,94.554,16.410,0.000,-47.277,-12.112,19.536,-44.933,94.554
'[17:57:00.309 10/08/2055]',-52.747,30.085,61.343,5.861,0.000,-19.145,26.569,41.416,-4.298,0.000,5.079,41.807,0.000,1.172,14.847,74.237,5.470,0.000,2.735,-22.271,98.071,18.364,0.000,-61.343,-8.205,16.410,-43.761,98.071
'[17:57:00.313 10/08/2055]',-46.105,18.364,100.024,-1.954,0.000,-15.238,35.556,51.184,-1.172,0.000,7.033,46.496,0.000,2.735,18.755,79.707,12.503,0.000,5.470,-20.708,97.680,32.039,0.000,-100.024,2.735,21.099,-44.151,97.680
'[17:57:00.316 10/08/2055]',-14.457,45.714,78.535,4.298,0.000,23.834,32.039,52.357,4.298,0.000,4.689,55.482,0.000,-3.907,25.788,83.614,16.801,0.000,9.377,-18.364,97.289,34.774,0.000,-78.535,-19.536,21.490,-39.853,97.289
'[17:57:00.320 10/08/2055]',-2.344,36.728,76.972,10.549,0.000,37.118,28.132,50.794,4.298,0.000,0.000,61.734,0.000,-12.503,25.006,86.349,15.238,0.000,0.391,-14.847,101.197,29.304,0.000,-76.972,-8.205,16.801,-35.556,101.197
'[17:57:00.324 10/08/2055]',-4.689,10.940,106.276,11.722,0.000,30.476,31.648,54.310,5.470,0.000,3.907,62.515,0.000,-12.894,27.350,90.647,16.410,0.000,1.172,-14.066,105.885,30.085,0.000,-106.276,16.020,21.490,-39.072,105.885
'[17:57:00.328 10/08/2055]',-13.284,24.225,85.958,13.675,0.000,12.503,35.946,53.529,7.033,0.000,11.331,61.734,0.000,-16.410,30.867,93.382,14.847,0.000,0.000,-15.629,107.057,33.211,0.000,-85.958,-7.424,19.145,-37.118,107.057
'[17:57:00.332 10/08/2055]',-37.900,40.635,67.985,17.973,0.000,-12.112,42.979,53.529,3.907,0.000,17.973,60.171,0.000,-5.079,29.304,94.164,10.940,0.000,10.549,-19.145,104.713,34.774,0.000,-67.985,-23.053,26.960,-37.900,104.713
'[17:57:00.336 10/08/2055]',-52.357,27.350,79.316,18.364,0.000,-36.728,48.840,57.827,1.954,0.000,21.099,60.171,0.000,-6.642,32.821,95.726,8.205,0.000,19.145,-27.741,105.885,32.821,0.000,-79.316,-13.284,42.589,-48.059,105.885
'[17:57:00.340 10/08/2055]',-23.834,32.430,73.065,20.317,0.000,-10.549,54.310,56.654,1.172,0.000,21.490,59.389,0.000,-19.536,39.072,94.945,3.126,0.000,14.457,-22.662,98.852,26.960,0.000,-73.065,-14.847,45.324,-44.933,98.852
'[17:57:00.344 10/08/2055]',-4.298,41.416,56.264,19.536,0.000,8.987,52.357,54.701,-3.516,0.000,23.443,56.654,0.000,-9.768,37.118,89.084,-1.172,0.000,20.317,-21.880,87.521,28.523,0.000,-56.264,-17.582,42.589,-45.714,87.521
'[17:57:00.348 10/08/2055]',-7.033,45.714,40.244,14.066,0.000,-3.516,53.919,54.701,-11.331,0.000,26.178,53.138,0.000,-6.252,33.211,85.568,-8.205,0.000,16.410,-19.145,82.442,23.834,0.000,-40.244,-32.039,37.900,-37.900,82.442
'[17:57:00.352 10/08/2055]',-7.033,55.092,50.012,5.861,0.000,-7.424,57.045,60.952,-5.861,0.000,31.648,51.184,0.000,0.391,36.337,82.833,-5.470,0.000,21.490,-16.410,76.972,31.648,0.000,-50.012,-33.993,31.258,-39.072,76.972
'[17:57:00.355 10/08/2055]',-21.099,34.383,85.177,10.159,0.000,-10.159,57.827,62.125,-1.172,0.000,37.900,50.012,0.000,16.020,41.026,78.535,-4.298,0.000,35.165,-10.940,73.846,33.602,0.000,-85.177,-8.987,47.277,-42.198,73.846
'[17:57:00.359 10/08/2055]',-21.490,60.171,67.204,10.940,0.000,1.172,55.482,58.217,0.781,0.000,37.509,54.701,0.000,16.410,44.933,77.363,-4.689,0.000,46.886,-11.722,78.926,20.317,0.000,-67.204,-36.728,64.860,-37.509,78.926
'[17:57:00.363 10/08/2055]',-10.549,3.516,113.309,20.708,0.000,13.284,50.403,54.310,7.424,0.000,25.788,62.515,0.000,8.596,50.403,76.972,-9.377,0.000,54.701,-7.814,82.833,-1.563,0.000,-113.309,15.238,82.833,-35.556,82.833
'[17:57:00.367 10/08/2055]',0.781,-7.424,104.322,22.271,0.000,23.443,45.324,46.105,3.907,0.000,21.099,63.687,0.000,-4.298,51.966,73.846,-14.066,0.000,49.231,-2.735,75.018,-12.894,0.000,-104.322,35.165,70.720,-30.085,75.018
'[17:57:00.371 10/08/2055]',3.126,-2.735,77.363,17.973,0.000,7.814,44.151,42.198,0.000,0.000,23.443,60.171,0.000,-20.708,51.575,71.893,-16.410,0.000,37.900,-2.735,68.376,-16.020,0.000,-77.363,19.536,60.562,-23.443,68.376
'[17:57:00.375 10/08/2055]',-13.284,7.814,43.761,21.099,0.000,-28.132,46.886,41.416,-0.391,0.000,24.615,57.436,0.000,-29.695,46.105,69.158,-14.066,0.000,28.132,-2.344,60.562,-14.847,0.000,-43.761,8.987,46.496,-19.145,60.562
'[17:57:00.379 10/08/2055]',8.596,19.927,41.416,10.940,0.000,-15.629,49.231,45.324,2.344,0.000,28.913,55.482,0.000,-28.913,43.761,67.204,-9.768,0.000,31.258,-7.424,55.482,-6.252,0.000,-41.416,11.722,46.886,-44.542,55.482
'[17:57:00.383 10/08/2055]',17.192,44.542,13.284,14.066,0.000,-5.079,46.105,40.635,7.424,0.000,34.774,54.310,0.000,-18.755,35.556,62.125,-2.735,0.000,39.072,-11.331,53.138,-3.516,0.000,-13.284,-12.112,48.449,-43.761,53.138
'[17:57:00.387 10/08/2055]',21.099,87.912,-24.615,15.629,0.000,9.377,39.463,35.556,14.066,0.000,25.397,60.171,0.000,-5.470,27.741,58.217,0.391,0.000,57.045,-19.927,53.919,-9.377,0.000,24.615,-54.310,57.827,-48.449,53.919
'[17:57:00.391 10/08/2055]',17.973,84.786,-22.662,15.629,0.000,10.549,30.867,34.383,17.973,0.000,14.847,65.250,0.000,-8.205,25.397,56.654,0.781,0.000,62.515,-18.364,48.059,-15.629,0.000,22.662,-45.324,70.330,-56.264,48.059
'[17:57:00.395 10/08/2055]',17.582,94.945,-50.012,16.020,0.000,6.252,26.569,29.304,14.847,0.000,13.284,65.641,0.000,-23.053,25.788,51.575,3.907,0.000,56.264,-20.317,40.244,-16.410,0.000,50.012,-60.562,67.985,-50.403,40.244
'[17:57:00.398 10/08/2055]',7.424,32.821,5.861,12.503,0.000,-7.424,24.225,31.648,8.987,0.000,11.331,67.985,0.000,-37.900,26.569,53.529,0.000,0.000,45.324,-17.582,39.072,-24.225,0.000,-5.861,-3.126,65.250,-40.635,39.072
'[17:57:00.402 10/08/2055]',7.814,-10.159,30.867,18.364,0.000,-14.457,23.834,30.476,6.252,0.000,6.642,67.204,0.000,-44.542,22.662,53.529,0.000,0.000,43.761,-22.271,43.370,-30.867,0.000,-30.867,38.291,71.893,-49.231,43.370
'[17:57:00.406 10/08/2055]',33.602,14.066,13.675,12.894,0.000,1.172,26.569,34.774,10.159,0.000,8.987,67.985,0.000,-26.569,16.410,53.529,5.079,0.000,52.357,-24.615,50.403,-27.741,0.000,-13.675,7.033,69.548,-51.966,50.403
'[17:57:00.410 10/08/2055]',37.118,17.192,24.225,18.755,0.000,18.755,23.443,36.728,16.801,0.000,11.331,72.283,0.000,0.000,7.424,53.529,13.675,0.000,65.250,-18.755,54.310,-23.443,0.000,-24.225,3.516,62.906,-34.774,54.310
'[17:57:00.414 10/08/2055]',29.304,56.654,-7.033,18.755,0.000,13.675,22.662,39.853,20.317,0.000,3.907,76.972,0.000,-7.814,4.689,53.529,14.457,0.000,65.641,-31.258,57.436,-23.834,0.000,7.033,-47.668,93.773,-58.608,57.436
'[17:57:00.418 10/08/2055]',19.145,60.562,-19.536,25.788,0.000,-10.159,26.178,45.714,22.662,0.000,0.000,83.223,0.000,-24.225,7.814,51.966,29.695,0.000,51.575,-30.085,53.529,-7.814,0.000,19.536,-48.449,88.694,-67.204,53.529
'[17:57:00.422 10/08/2055]',-6.252,-28.132,62.125,27.350,0.000,-48.840,33.211,47.277,21.099,0.000,2.735,85.568,0.000,-56.264,9.377,48.449,37.118,0.000,32.430,-41.416,40.635,8.205,0.000,-62.125,16.020,101.197,-69.158,40.635
'[17:57:00.426 10/08/2055]',-8.987,-72.283,116.044,17.973,0.000,-50.403,32.430,46.886,22.271,0.000,3.907,84.786,0.000,-85.177,8.596,47.668,41.807,0.000,18.364,-58.999,34.383,19.927,0.000,-116.044,61.343,89.084,-73.846,34.383
'[17:57:00.430 10/08/2055]',0.000,-50.403,108.620,10.549,0.000,-41.807,35.165,48.449,25.006,0.000,3.516,85.568,0.000,-76.581,7.033,42.589,57.436,0.000,25.788,-71.502,34.774,41.807,0.000,-108.620,50.403,71.893,-83.614,34.774
'[17:57:00.434 10/08/2055]',10.159,-11.331,107.839,-3.126,0.000,-5.470,25.788,48.059,32.821,0.000,3.907,86.349,0.000,-45.714,-0.781,39.463,68.767,0.000,44.933,-69.939,29.304,57.436,0.000,-107.839,22.662,70.330,-84.005,29.304
'[17:57:00.438 10/08/2055]',-8.987,25.006,96.508,0.781,0.000,3.126,14.847,53.529,39.463,0.000,0.781,89.084,0.000,-20.708,-7.424,37.900,70.720,0.000,61.343,-65.641,26.178,58.999,0.000,-96.508,3.126,77.753,-83.614,26.178
'[17:57:00.441 10/08/2055]',7.424,61.343,50.403,7.424,0.000,8.987,17.973,61.343,35.946,0.000,-5.470,91.819,0.000,-23.443,-3.907,37.509,75.018,0.000,53.138,-58.608,33.602,57.045,0.000,-50.403,-35.946,77.753,-84.396,33.602
'[17:57:00.445 10/08/2055]',-7.424,44.933,62.906,28.913,0.000,-4.298,22.271,61.734,48.059,0.000,-3.907,94.554,0.000,-39.072,-1.172,33.211,80.879,0.000,30.867,-45.714,19.927,68.376,0.000,-62.906,-10.940,71.502,-78.535,19.927
'[17:57:00.449 10/08/2055]',-30.476,26.178,96.117,27.741,0.000,-21.880,22.271,61.343,56.654,0.000,-0.781,92.601,0.000,-61.343,-1.954,30.476,80.488,0.000,11.331,-51.184,6.642,80.488,0.000,-96.117,-3.907,85.958,-80.879,6.642
'[17:57:00.453 10/08/2055]',-10.940,-4.298,127.766,25.397,0.000,-11.331,25.788,55.873,65.641,0.000,-1.563,88.694,0.000,-63.297,0.391,25.788,84.396,0.000,12.503,-54.310,0.781,87.912,0.000,-127.766,18.364,80.488,-76.972,0.781
'[17:57:00.457 10/08/2055]',-17.192,18.364,119.170,16.410,0.000,-4.689,23.834,42.198,73.455,0.000,-4.298,76.190,0.000,-50.403,-4.689,16.020,84.005,0.000,22.271,-62.125,-13.284,98.071,0.000,-119.170,11.722,87.912,-94.945,-13.284
'[17:57:00.461 10/08/2055]',-37.900,4.689,139.878,-1.563,0.000,-17.582,14.847,33.211,71.502,0.000,-4.298,62.515,0.000,-28.913,-15.238,8.987,78.535,0.000,35.165,-61.343,-22.662,92.601,0.000,-139.878,21.099,103.932,-97.289,-22.662
'[17:57:00.465 10/08/2055]',-6.252,11.331,83.614,10.940,0.000,-4.298,16.410,21.490,64.469,0.000,-4.298,46.496,0.000,-19.536,-16.801,1.954,81.270,0.000,41.416,-51.575,-21.490,79.707,0.000,-83.614,-4.689,109.402,-78.926,-21.490
'[17:57:00.469 10/08/2055]',7.033,60.562,14.066,3.907,0.000,2.344,14.066,12.894,54.310,0.000,-3.516,30.085,0.000,-41.807,-10.159,-3.907,71.893,0.000,25.006,-51.966,-32.821,75.409,0.000,-14.066,-53.529,103.932,-82.442,-32.821
